"predictor","term","estimate","std_error","z_value","p_value"
"psa","(Intercept)",-1.09933012864099,0.161499085707581,-6.80703623692024,9.96298434826372e-12
"psa","psa",0.0488559415437296,0.00924615220807816,5.28392140257492,1.26447518762922e-07
"age","(Intercept)",0.463539482362067,1.08463675582737,0.427368406862143,0.669111014910315
"age","age",-0.0131304856452791,0.016365609607394,-0.802321817535395,0.422366825090343
"race","(Intercept)",-0.344293012289128,0.407047954230365,-0.845829118439146,0.397648078948705
"race","race",-0.0538460557269654,0.359283098441265,-0.149870828771446,0.880866527006158
"dpros","(Intercept)",-2.0111964916226,0.295962004586263,-6.79545502617518,1.07971196481072e-11
"dpros","dpros",0.692393772454193,0.115906884270178,5.97370705643531,2.31922100673071e-09
"dcaps","(Intercept)",-2.25758801283992,0.4300110078556,-5.25007028098691,1.52041190431326e-07
"dcaps","dcaps",1.67810015075254,0.382396645452531,4.38837571068821,1.14200367905174e-05
"gleason","(Intercept)",-8.32977919963979,1.00074048917743,-8.32361565233219,8.53199500734212e-17
"gleason","gleason",1.22421873869504,0.152346150052779,8.03577076461019,9.29924605336952e-16
