"model","metric","mean","sd","median","resampling_p025","resampling_p975","minimum","maximum","repeats","interval_note"
"historical_benchmark","auc",0.809213670784026,0.00283266901125701,0.808996285738965,0.804868849154934,0.814259955083355,0.804814142984653,0.814977973568282,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"nonlinear_psa","auc",0.805132302553914,0.0033105300306399,0.804914917508854,0.799584664996689,0.81090092424635,0.799516282283839,0.811666810630273,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"primary_modern","auc",0.809664276870807,0.0029805166027533,0.809824076473467,0.804016584607411,0.813690219112608,0.803086579712649,0.81411419193228,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"historical_benchmark","brier",0.173149034725255,0.00130612274336721,0.173162340581627,0.170981292884748,0.17543653011056,0.17092047757125,0.175883413772202,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"nonlinear_psa","brier",0.174613717856529,0.00157841490944894,0.174574801243059,0.171661447010039,0.177202909953446,0.171421264654078,0.177389363409748,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"primary_modern","brier",0.173097949907639,0.00133461594312878,0.17284970771635,0.170949521703361,0.175570178012609,0.170899495613014,0.175734066421976,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"historical_benchmark","calibration_intercept",-0.00229993252104797,0.00508088297672185,-0.00292454155883619,-0.00874830313998624,0.00842460693926623,-0.00901446366829004,0.00973734867238454,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"nonlinear_psa","calibration_intercept",-0.00260733522995106,0.00860692269473896,-0.00425998138051018,-0.0136148845039992,0.0156953559195091,-0.0146262233610045,0.016167279520043,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"primary_modern","calibration_intercept",-0.0027118610729597,0.00569803757284351,-0.00367987625301126,-0.0100433957188527,0.00930698021279516,-0.0101705278920866,0.010019559361403,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"historical_benchmark","calibration_slope",0.92028731488656,0.0165766228579537,0.920061993308501,0.891309120662074,0.948094691840868,0.882059514423579,0.94873035088476,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"nonlinear_psa","calibration_slope",0.883577520860387,0.0210568989170374,0.890188809349712,0.845397883120162,0.915117172692883,0.838998927256478,0.916169172721339,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"primary_modern","calibration_slope",0.91398699620356,0.0168934711378955,0.914656711710189,0.883645314134037,0.936168220627354,0.881562403626859,0.939673675833448,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"historical_benchmark","log_loss",0.518779356840009,0.0037579254631503,0.51802289616548,0.512923476124592,0.52607491069317,0.512641855919236,0.528130387747119,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"nonlinear_psa","log_loss",0.522664519023793,0.00495916449133952,0.522351584825287,0.514434660563357,0.531606701913506,0.513121338424798,0.533884366241783,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"primary_modern","log_loss",0.519246652907048,0.00376940465019597,0.519109414972544,0.51357315402177,0.52669204613051,0.513214855892205,0.526734350396397,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
