"repeat_id","fold","capsule","observations"
1,1,0,23
2,1,0,23
3,1,0,23
4,1,0,23
5,1,0,23
6,1,0,23
7,1,0,23
8,1,0,23
9,1,0,23
10,1,0,23
11,1,0,23
12,1,0,23
13,1,0,23
14,1,0,23
15,1,0,23
16,1,0,23
17,1,0,23
18,1,0,23
19,1,0,23
20,1,0,23
1,2,0,23
2,2,0,23
3,2,0,23
4,2,0,23
5,2,0,23
6,2,0,23
7,2,0,23
8,2,0,23
9,2,0,23
10,2,0,23
11,2,0,23
12,2,0,23
13,2,0,23
14,2,0,23
15,2,0,23
16,2,0,23
17,2,0,23
18,2,0,23
19,2,0,23
20,2,0,23
1,3,0,23
2,3,0,23
3,3,0,23
4,3,0,23
5,3,0,23
6,3,0,23
7,3,0,23
8,3,0,23
9,3,0,23
10,3,0,23
11,3,0,23
12,3,0,23
13,3,0,23
14,3,0,23
15,3,0,23
16,3,0,23
17,3,0,23
18,3,0,23
19,3,0,23
20,3,0,23
1,4,0,23
2,4,0,23
3,4,0,23
4,4,0,23
5,4,0,23
6,4,0,23
7,4,0,23
8,4,0,23
9,4,0,23
10,4,0,23
11,4,0,23
12,4,0,23
13,4,0,23
14,4,0,23
15,4,0,23
16,4,0,23
17,4,0,23
18,4,0,23
19,4,0,23
20,4,0,23
1,5,0,23
2,5,0,23
3,5,0,23
4,5,0,23
5,5,0,23
6,5,0,23
7,5,0,23
8,5,0,23
9,5,0,23
10,5,0,23
11,5,0,23
12,5,0,23
13,5,0,23
14,5,0,23
15,5,0,23
16,5,0,23
17,5,0,23
18,5,0,23
19,5,0,23
20,5,0,23
1,6,0,23
2,6,0,23
3,6,0,23
4,6,0,23
5,6,0,23
6,6,0,23
7,6,0,23
8,6,0,23
9,6,0,23
10,6,0,23
11,6,0,23
12,6,0,23
13,6,0,23
14,6,0,23
15,6,0,23
16,6,0,23
17,6,0,23
18,6,0,23
19,6,0,23
20,6,0,23
1,7,0,23
2,7,0,23
3,7,0,23
4,7,0,23
5,7,0,23
6,7,0,23
7,7,0,23
8,7,0,23
9,7,0,23
10,7,0,23
11,7,0,23
12,7,0,23
13,7,0,23
14,7,0,23
15,7,0,23
16,7,0,23
17,7,0,23
18,7,0,23
