"analysis","repeat_id","metric","estimate"
"dcaps_sensitivity",1,"auc",0.812069908727074
"dcaps_sensitivity",1,"brier",0.172113173511342
"dcaps_sensitivity",1,"log_loss",0.516906160878726
"dcaps_sensitivity",1,"calibration_intercept",0.000451443623447765
"dcaps_sensitivity",1,"calibration_slope",0.91321943273108
"dcaps_sensitivity",2,"auc",0.805217241081455
"dcaps_sensitivity",2,"brier",0.174966933191863
"dcaps_sensitivity",2,"log_loss",0.527020972212674
"dcaps_sensitivity",2,"calibration_intercept",0.00976001590299464
"dcaps_sensitivity",2,"calibration_slope",0.877356213061955
"dcaps_sensitivity",3,"auc",0.808182891365063
"dcaps_sensitivity",3,"brier",0.17319915859456
"dcaps_sensitivity",3,"log_loss",0.51936629976032
"dcaps_sensitivity",3,"calibration_intercept",-0.00175853113105097
"dcaps_sensitivity",3,"calibration_slope",0.902920726023842
"dcaps_sensitivity",4,"auc",0.812069908727074
"dcaps_sensitivity",4,"brier",0.172355366750776
"dcaps_sensitivity",4,"log_loss",0.518271301411058
"dcaps_sensitivity",4,"calibration_intercept",0.000545492109179525
"dcaps_sensitivity",4,"calibration_slope",0.912921373146034
"dcaps_sensitivity",5,"auc",0.81077423627307
"dcaps_sensitivity",5,"brier",0.172456336822079
"dcaps_sensitivity",5,"log_loss",0.519258785744232
"dcaps_sensitivity",5,"calibration_intercept",0.000209794719727922
"dcaps_sensitivity",5,"calibration_slope",0.902507513729074
"dcaps_sensitivity",6,"auc",0.813912642883879
"dcaps_sensitivity",6,"brier",0.170304149845841
"dcaps_sensitivity",6,"log_loss",0.513150486480403
"dcaps_sensitivity",6,"calibration_intercept",0.00934136364383082
"dcaps_sensitivity",6,"calibration_slope",0.934654712455114
"dcaps_sensitivity",7,"auc",0.811638017909073
"dcaps_sensitivity",7,"brier",0.17219625591097
"dcaps_sensitivity",7,"log_loss",0.518912040814758
"dcaps_sensitivity",7,"calibration_intercept",-0.00247619521117176
"dcaps_sensitivity",7,"calibration_slope",0.907351374837833
"dcaps_sensitivity",8,"auc",0.808442025855864
"dcaps_sensitivity",8,"brier",0.173993909773558
"dcaps_sensitivity",8,"log_loss",0.522229538222317
"dcaps_sensitivity",8,"calibration_intercept",-0.010484113193743
"dcaps_sensitivity",8,"calibration_slope",0.883974977561485
"dcaps_sensitivity",9,"auc",0.810140796406668
"dcaps_sensitivity",9,"brier",0.172833421382177
"dcaps_sensitivity",9,"log_loss",0.518862907039611
"dcaps_sensitivity",9,"calibration_intercept",-0.0044628842346419
"dcaps_sensitivity",9,"calibration_slope",0.912225877942427
"dcaps_sensitivity",10,"auc",0.808269269528663
"dcaps_sensitivity",10,"brier",0.175509024557146
"dcaps_sensitivity",10,"log_loss",0.527326479640352
"dcaps_sensitivity",10,"calibration_intercept",-0.0121453906709452
"dcaps_sensitivity",10,"calibration_slope",0.869207102911798
"dcaps_sensitivity",11,"auc",0.807837378710662
"dcaps_sensitivity",11,"brier",0.173442953283399
"dcaps_sensitivity",11,"log_loss",0.520941011758594
"dcaps_sensitivity",11,"calibration_intercept",0.00228928052188548
"dcaps_sensitivity",11,"calibration_slope",0.903370716159784
"dcaps_sensitivity",12,"auc",0.812300250496674
"dcaps_sensitivity",12,"brier",0.171843694109522
"dcaps_sensitivity",12,"log_loss",0.51688429589363
"dcaps_sensitivity",12,"calibration_intercept",-0.000471176747403462
"dcaps_sensitivity",12,"calibration_slope",0.918403168690421
"dcaps_sensitivity",13,"auc",0.811551639745472
"dcaps_sensitivity",13,"brier",0.172278583453632
"dcaps_sensitivity",13,"log_loss",0.517623182600635
"dcaps_sensitivity",13,"calibration_intercept",-0.00424911510237331
"dcaps_sensitivity",13,"calibration_slope",0.928087950271134
"dcaps_sensitivity",14,"auc",0.81057268722467
