"analysis","classification","metric","mean","sd","median","resampling_p025","resampling_p975","minimum","maximum","repeats","interval_note"
"dcaps_sensitivity","Sensitivity","auc",0.809832714289828,0.00331501641662671,0.810385534536869,0.803021076271918,0.81435893006248,0.802050041749446,0.814632460913881,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"volume_exploratory","Exploratory","auc",0.812858829287956,0.00357804204365239,0.813005672166076,0.805492211568915,0.818076790187441,0.805246033802655,0.818692234603092,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"zero_gleason_exclusion","Data-quality sensitivity","auc",0.807972403776325,0.0030082799861525,0.808148148148148,0.802274509803921,0.812049382716049,0.801336238198983,0.812490922294844,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"dcaps_sensitivity","Sensitivity","brier",0.172915852669739,0.00157831801201906,0.172469737820683,0.170427939251698,0.175960651343584,0.170304149845841,0.176369266055123,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"volume_exploratory","Exploratory","brier",0.171957517430183,0.00170069987527845,0.171884442306399,0.169563292906255,0.175379018336836,0.169215205572044,0.175627935073109,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"zero_gleason_exclusion","Data-quality sensitivity","brier",0.174014395693876,0.00134198252091611,0.173764781893016,0.171854278921985,0.176500491477296,0.171804274665124,0.176664506798349,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"dcaps_sensitivity","Sensitivity","calibration_intercept",-0.00166297708187438,0.0057815893912667,-0.00173005059880763,-0.0113562838692742,0.00956115607989183,-0.0121453906709452,0.00976001590299464,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"volume_exploratory","Exploratory","calibration_intercept",-0.00277162815276791,0.00778952820944308,-0.00223786554085692,-0.0177934262634026,0.0100669453268631,-0.0232493921507903,0.0108065070843254,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"zero_gleason_exclusion","Data-quality sensitivity","calibration_intercept",-0.00271326891769223,0.00569822761694484,-0.00367828071817643,-0.0100478245644207,0.00930459474227369,-0.0101801672236066,0.0100167258617436,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"dcaps_sensitivity","Sensitivity","calibration_slope",0.903364456772092,0.0201906975979606,0.904769353509523,0.866034159161503,0.932467016038136,0.863163400530283,0.934654712455114,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"volume_exploratory","Exploratory","calibration_slope",0.89267611608541,0.0202331392217056,0.896002316501683,0.854884388316875,0.919004336045054,0.853458481810842,0.922573048653807,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"zero_gleason_exclusion","Data-quality sensitivity","calibration_slope",0.913934053536506,0.0169024185216053,0.914601183430181,0.883556959388238,0.936134069050411,0.881466801366637,0.939640818573427,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"dcaps_sensitivity","Sensitivity","log_loss",0.519839925378068,0.00460814773783913,0.518908347756829,0.513073143231486,0.528589673876479,0.513003166006275,0.529732563899641,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"volume_exploratory","Exploratory","log_loss",0.51851363581358,0.00468662886563777,0.518244058492914,0.512330301722827,0.528116859293034,0.512258281170658,0.529262326683668,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
"zero_gleason_exclusion","Data-quality sensitivity","log_loss",0.52199392712985,0.00379023103969606,0.521855028533745,0.516289519485579,0.529480768804843,0.515928559541833,0.529525638273181,20,"2.5th and 97.5th percentiles describe resampling variability; they are not formal confidence limits."
