"repeat_id","fold","analysis","classification","analysis_observations","analysis_events","assessment_observations","assessment_events","converged","iterations","minimum_prediction","maximum_prediction"
1,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.020160429839435,0.969353406155133
1,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000187625376386046,0.973563756256127
1,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000502336110375729,0.966367628681607
1,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0336505124310266,0.940272665018896
1,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0421227634263766,0.937387021872916
1,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0524440629225496,0.978211194076978
1,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0670010111194648,0.965620594975498
1,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0446337838482495,0.968562423432553
1,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0434013329415933,0.963884000540772
1,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0514185026222753,0.97641925781565
2,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0625057750755727,0.838645044460437
2,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0315835692641946,0.911924533565396
2,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0537721893818181,0.967162490609812
2,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000156966968764838,0.914746264969521
2,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.00050281291889279,0.927391745873894
2,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0202718620175709,0.977327228620747
2,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0413342357180886,0.972735804039142
2,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0231066500893645,0.974067884324729
2,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0552841663699776,0.964349237963763
2,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0198472063034193,0.979609436735421
3,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0261255576192213,0.938983676589927
3,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0360730268050022,0.91154799377471
3,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0222229390061646,0.969850473694889
3,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0710294271651215,0.965662130274549
3,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000638446487987786,0.970355846108956
3,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000108761230029677,0.97685132863041
3,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0192589652444723,0.97372890679774
3,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0450966103116667,0.972337291186557
3,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0628058350861022,0.832266311394779
3,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0411569046262091,0.956123206480279
4,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0663423640098983,0.963213370822611
4,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0524130290206738,0.955422633240007
4,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0174320660087246,0.981192176432001
4,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000753356645451487,0.965224250705967
4,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.049701201706442,0.963515572617171
4,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0468461624232977,0.976800471041713
4,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,4,0.00026932747479414,0.825881239595987
4,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0297576454840522,0.973042656711939
4,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0262750388537759,0.845376006245414
4,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0290869761364834,0.979045862961651
5,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000389510627790486,0.855690197058301
5,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0394647860504948,0.965563366364178
5,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0439155636889991,0.957827136000301
5,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0493261736447473,0.963658050700162
5,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0270582882778443,0.979997575147096
5,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0498242625386599,0.955848735004814
5,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000276905780069974,0.92012802033726
5,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0189361607269133,0.965681248721505
5,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0325875421175926,0.974696973069667
5,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.032611885374002,0.940813140434989
6,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0419729082263394,0.952154172560042
6,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0273641173140628,0.965472391700497
6,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0196820695683899,0.970813495048136
6,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0350958434788145,0.909477636850601
6,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0467083577586629,0.937293407827788
6,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0480366647436438,0.962256329738399
6,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0491117975700268,0.95688622627578
6,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,4,0.000308317006966797,0.938194877055446
6,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0269898336959224,0.980142852114849
6,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.000366209116958045,0.978239629385643
7,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0651349582575388,0.950177573162556
7,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0517949176236278,0.976489238530275
7,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0144449793215978,0.985470273923874
7,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000711149281594468,0.970778047979411
7,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0289654422503414,0.966115519806499
7,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0313230201046065,0.947533694289396
7,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.044496458756711,0.975105378117647
7,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,4,0.000218914342385944,0.93153039747574
7,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0543233380607997,0.847089196345881
7,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0393818094482982,0.918055585091586
8,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000538389882995875,0.972371536568277
8,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0444497190853667,0.916052759896987
8,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0563274920055738,0.975180734706521
8,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.037563628052785,0.872189929360941
8,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000116770306961558,0.97211759048951
8,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0183874544873278,0.98472027272308
8,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0537360266846813,0.967224562338184
8,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0182267325944069,0.955212136088047
8,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.047224410674905,0.957134816271991
8,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0250847193533774,0.766647497188018
9,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0271786251494229,0.977089596680395
9,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0583248096500146,0.96264473570172
9,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000107626243782093,0.846831380658987
9,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0331810708550734,0.918305759286968
9,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.00075566609894956,0.916692991425031
9,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0326954751361054,0.962200393831634
9,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0448008200421954,0.950081889370507
9,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0406229219741885,0.977009901086889
9,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0535670925406817,0.937820963045485
9,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0516103273891843,0.952642416110794
10,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.054894363363291,0.966806966607955
10,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000113575520046161,0.985997449767357
10,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0257799460458301,0.976465227279427
10,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0338400090557386,0.972565709312506
10,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0377841455358051,0.939287987813678
10,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000218961295389674,0.960267317333896
10,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.050221346788666,0.803484569079982
10,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0219078897324308,0.974877164250727
10,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.047585267937083,0.935361218485699
10,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.053001071717941,0.953767702296705
11,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0443285722085915,0.982093761154639
11,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.045522696240222,0.818627174126519
11,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0266774787313156,0.974169528597204
11,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0292350965828857,0.783558158991958
11,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0233732204268519,0.973296896981419
11,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0399182166355288,0.892694105570123
11,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000614633205802644,0.960609750268113
11,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0447672652755491,0.966852127082855
11,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,4,0.000226264767986146,0.953536302759124
11,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0293584362604692,0.977502052431918
12,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0293508005102012,0.962755286468336
12,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,4,0.000245499064442413,0.963806210578033
12,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000588958181355566,0.974156889659445
12,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0211880854947742,0.974851697503715
12,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0289824984606708,0.954052483503194
12,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0601994167068592,0.975587172432297
12,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0444249713824764,0.92854887517759
12,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0296173639927396,0.881192697681199
12,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0297607769244943,0.981720388003669
12,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.049428097659609,0.934448921477249
13,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0301978442174781,0.972497572613873
13,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0352130595363087,0.963050141640709
13,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0778591117409367,0.979040165612044
13,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000406215754747596,0.88453335642012
13,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0489507087491376,0.967594870904093
13,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0365272939396405,0.95089091227194
13,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0385594430198946,0.93450772728453
13,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.00011063524332429,0.874374111345023
13,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0519299065738543,0.960949645203897
13,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.030487525542718,0.859820644495132
14,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0451361648535393,0.980885807350891
14,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0429940425241919,0.910463686156507
14,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0325938193937933,0.978959665684565
14,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0208446276201623,0.961058004681698
14,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0204817224976257,0.97508213872821
14,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000545512515730439,0.968212651226454
14,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.027313212384991,0.961376870386278
14,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0316189168121231,0.969404516347727
14,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0537041222203335,0.916908832985792
14,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,4,0.000260376404449319,0.931611719800737
15,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.035032149135079,0.852882425680508
15,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.115723421041135,0.971408813829692
15,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0300192608377368,0.979858764210838
15,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0268080382708545,0.976966079117145
15,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0236716209881513,0.934153988722047
15,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0895965259546873,0.967636607319172
15,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0354515373070084,0.955795220567286
15,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.000534248825679816,0.931156787820326
15,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0576056283684225,0.98152370133773
15,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,4,0.000215054373629496,0.930528001031513
16,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0206532099125814,0.97538950667754
16,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000672748139205932,0.965935648535614
16,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0367638605890079,0.828831183992141
16,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000108483502598865,0.97105023257887
16,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0211741528761161,0.968978784928984
16,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0658359623180554,0.97823246528656
16,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0469435584935072,0.928930086578294
16,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0331550928570859,0.975167808248483
16,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0326405255179699,0.934816106722971
16,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.053669992042604,0.972311984862374
17,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0303223577608337,0.977324644893579
17,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0267824553963015,0.980847675878314
17,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000642341713010182,0.960010626487222
17,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0283763714147347,0.949479779803689
17,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0469377991494411,0.944257393127264
17,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0551773850028871,0.951544199188827
17,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000114729938448374,0.97812667949092
17,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.034069350658887,0.948989383021526
17,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.030815688823115,0.932893198343019
17,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0522843848574014,0.97950621750924
18,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,4,0.000193538898443599,0.969503370591344
18,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0334511067997006,0.884319831382622
18,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0204142246742588,0.954603257838263
18,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0358095091621341,0.980804084438751
18,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0426562804145484,0.946759529980976
18,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0639433129550319,0.941546814338916
18,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0243718850252413,0.854948107277097
18,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.000478458864906318,0.975519914668308
18,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.042777326540334,0.966506042331648
18,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0238678196846091,0.961265775531687
19,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000754163342283091,0.97486030683959
19,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0335814440451283,0.978732895582836
19,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0599581119624412,0.850033594274391
19,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0412173586574649,0.972908899883578
19,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.000130961155089472,0.870573780557353
19,6,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0318264797770477,0.951871659254601
19,7,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0412373338734359,0.975826144909058
19,8,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0405430017242092,0.949393239173916
19,9,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0496991705648933,0.915948525613769
19,10,"dcaps_sensitivity","Sensitivity",343,138,37,15,TRUE,5,0.0507018158963944,0.97772995834194
20,1,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.000256369336276867,0.943388288920488
20,2,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.0336409006228582,0.980004756659254
20,3,"dcaps_sensitivity","Sensitivity",341,137,39,16,TRUE,5,0.00012969209222447,0.98274451445385
20,4,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.050000802095145,0.915447173488607
20,5,"dcaps_sensitivity","Sensitivity",342,138,38,15,TRUE,5,0.0306016001005799,0.965615449920298
